CZUĆ,odczuwać,słuchać,inne
MECZ,rozgrywka,dawna broń biała,inne
PIŁKA,piłka do gry albo do cięcia,narzędzie do cięcia,inne
OWOC,np. jabłko,warzywo,inne
ŻYWOT,życie,brzuch,inne
CHYBA,być może,błąd,inne
PROSTO,łatwo albo na wprost,tylko łatwo,inne
KAZAĆ,rozkaz,mówić,inne
BOGATO,zamożnie,dużo,inne
DYWAN,na podłogę lub ścianę,kanapa,inne
NA WSI,poza miastem,np. na wszystkie strony,inne
PAMIĘTNIK,dziennik,pomnik,inne
KIT,masa do mocowania szyb albo kłamstwo,kot,inne
DYNIA,dynia jak na Halloween,melon,inne
ARBUZ,arbus,dynia,inne
telefon,,,podobne
tramwaj,,,podobne
napój,,,podobne
internet,,,podobne
karta sim,,,podobne
adwokat,,,podobne
taksi,,,podobne
